antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({22632}),frozenset({22865}),0.019371897258795595,0.030865529894236996,0.010144614720483489,0.5236768802228413,16.966398504002964,1.0,0.009546690846534046,2.0346156419179473,0.9596502175895736,0.253028263795424,0.5085066784125665,0.42617410444708503
frozenset({22745}),frozenset({22748}),0.01705158644506799,0.018670407943017484,0.013706022015972373,0.8037974683544304,43.05194995244019,1.0,0.013387661940967325,5.001615340161397,0.993716694504096,0.6225490196078433,0.8000645927386069,0.7689507572986025
frozenset({22748}),frozenset({22745}),0.018670407943017484,0.01705158644506799,0.013706022015972373,0.7341040462427746,43.05194995244019,1.0,0.013387661940967325,3.696740772717462,0.9953559500212589,0.6225490196078433,0.7294914462544521,0.7689507572986025
frozenset({22726}),frozenset({22727}),0.04257500539607166,0.047323548456723506,0.028599179797107705,0.6717363751584283,14.194547895594063,1.0,0.026584379466201444,2.9021688041221814,0.9708858874985511,0.4665492957746479,0.6554301050374395,0.6380346642040716
frozenset({22727}),frozenset({22726}),0.047323548456723506,0.04257500539607166,0.028599179797107705,0.6043329532497149,14.194547895594065,1.0,0.026584379466201444,2.419774409993214,0.9757251941029053,0.4665492957746479,0.5867383356604698,0.6380346642040716
frozenset({22728}),frozenset({22727}),0.03307791927476797,0.047323548456723506,0.021368443772933305,0.6460032626427407,13.650778179356065,1.0,0.019803079257286235,2.691201220258196,0.9584475538351314,0.36197440585009133,0.628418717830375,0.5487713006486223
frozenset({22728}),frozenset({22726}),0.03307791927476797,0.04257500539607166,0.018508525793222534,0.5595432300163132,13.142528692854647,1.0,0.017100233201608465,2.1737093396007707,0.9555176785980711,0.323890462700661,0.5399568922201611,0.4971353665924405
"frozenset({22728, 22726})",frozenset({22727}),0.018508525793222534,0.047323548456723506,0.014407511331750486,0.7784256559766763,16.4490128353019,1.0,0.013531622214512403,4.299579248412418,0.9569172049699544,0.2801678908709339,0.7674191026088795,0.5414363171559551
"frozenset({22728, 22727})",frozenset({22726}),0.021368443772933305,0.04257500539607166,0.014407511331750486,0.6742424242424242,15.83657871490571,1.0,0.013497749722812197,2.9390720764585705,0.9573113008827189,0.2908496732026144,0.6597565578572172,0.5063227330337596
"frozenset({22726, 22727})",frozenset({22728}),0.028599179797107705,0.03307791927476797,0.014407511331750486,0.5037735849056604,15.229905506479115,1.0,0.013461509971097182,1.9485502007010378,0.9618477680590629,0.30479452054794526,0.48679792820311946,0.4696681953892087
frozenset({21791}),frozenset({21790}),0.026170947550183465,0.03895963738398446,0.013490179149579106,0.5154639175257733,13.230716509124141,1.0,0.01247056852302868,1.9834237271011388,0.9492613730813985,0.26123301985370945,0.49582129812395453,0.43086215266870376
frozenset({22661}),frozenset({20724}),0.018508525793222534,0.039876969566155836,0.010198575437081804,0.5510204081632653,13.81801110159896,1.0,0.00946051151731106,2.1384558405117438,0.9451235280582688,0.2116461366181411,0.5323728547227354,0.4033857115241225
frozenset({'82494L'}),frozenset({82482}),0.04376214116123462,0.04726958774012519,0.025253615368012086,0.5770653514180024,12.207962434336096,1.0,0.02318499699669536,2.2526657852558554,0.9601023846833903,0.38392124692370794,0.556081507276757,0.555655963380234
